keys,en
QUEST_MQ00_TITLE,The Leap
QUEST_MQ01_TITLE,The Greatest Trick
QUEST_MQ02_TITLE,Between the Pillars
QUEST_MQ03_TITLE,The Endless Harvest
QUEST_MQ04_TITLE,Set in Stone
QUEST_MQ05_TITLE,The Same Old Song
QUEST_MQ06_TITLE,The Longest Engagement
QUEST_MQ07_TITLE,The Triumph
QUEST_MQ08_TITLE,The Gentlest Hand
QUEST_MQ09_TITLE,The Light on the Mountain
QUEST_MQ10_TITLE,Round and Round
QUEST_MQ11_TITLE,The Adjourned
QUEST_MQ12_TITLE,A Change of Perspective
QUEST_MQ13_TITLE,An Ending
QUEST_MQ14_TITLE,The Perfect Measure
QUEST_MQ15_TITLE,Terms and Conditions
QUEST_MQ16_TITLE,Already Falling
QUEST_MQ17_TITLE,The Vigil
QUEST_MQ18_TITLE,The Path That Lies
QUEST_MQ19_TITLE,The First Sunset
QUEST_MQ20_TITLE,The Last Trumpet
QUEST_MQ21_TITLE,The Shuffle
QUEST_SQ_ASSIZE_01_TITLE,"The Longest Wait, Decided"
QUEST_SQ_ASSIZE_02_TITLE,The Scribe Who Copied Nothing New
QUEST_SQ_ASSIZE_03_TITLE,What the Ninefingers Sold
QUEST_SQ_AXIS_01_TITLE,The Telescope-Makers
QUEST_SQ_AXIS_02_TITLE,The Rim-Watcher
QUEST_SQ_AXIS_03_TITLE,The Silent Wreath-Order
QUEST_SQ_BASTION_01_TITLE,The Amendment That Wasn't
QUEST_SQ_BASTION_02_TITLE,The Clerk Who Loved the Schedule
QUEST_SQ_BASTION_03_TITLE,The Petty Thief's Apprentice
QUEST_SQ_BOWER_01_TITLE,The Uncut Row
QUEST_SQ_BOWER_02_TITLE,The Hive That Never Swarms
QUEST_SQ_BOWER_03_TITLE,The Hoarder's Ledger
QUEST_SQ_CHANTRY_01_TITLE,The Wrong Note
QUEST_SQ_CHANTRY_02_TITLE,The Bell-Ringer's Mate
QUEST_SQ_CHANTRY_03_TITLE,The Wedding That Waits
QUEST_SQ_COINS_01_TITLE,The Honest Scale
QUEST_SQ_CONFLUENCE_01_TITLE,Where the Two Rivers Actually Meet
QUEST_SQ_CONFLUENCE_02_TITLE,The Bridge-Broker's Last Case
QUEST_SQ_CONFLUENCE_03_TITLE,The Tea That Never Steeps Right
QUEST_SQ_CUPS_01_TITLE,The Guest-Right
QUEST_SQ_DIM_01_TITLE,The Stream That Starts in the Dark
QUEST_SQ_DIM_02_TITLE,The One Who Stayed
QUEST_SQ_DIM_03_TITLE,The Lamplighter's Count
