keys,en
REGION_CLIFF_NAME,The Cliff
REGION_PRESTIGE_NAME,The Prestige
REGION_VEIL_NAME,The Veil
REGION_BOWER_NAME,The Bower
REGION_BASTION_NAME,The Bastion
REGION_CHANTRY_NAME,The Chantry
REGION_DIVIDE_NAME,The Divide
REGION_LONGROAD_NAME,The Longroad
REGION_MAW_NAME,The Maw
REGION_DIM_NAME,The Dim
REGION_WHEELHOUSE_NAME,The Wheelhouse
REGION_ASSIZE_NAME,The Assize
REGION_GALLOWWOOD_NAME,The Gallowwood
REGION_STILLMARSH_NAME,The Stillmarsh
REGION_CONFLUENCE_NAME,The Confluence
REGION_UNDERVAULT_NAME,The Undervault
REGION_SPIRE_NAME,The Spire
REGION_MERE_NAME,The Mere
REGION_MIRRORMARSH_NAME,The Mirrormarsh
REGION_NOONLANDS_NAME,The Noonlands
REGION_HOLLOWS_NAME,The Hollows
REGION_AXIS_NAME,The Axis
